epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.9592,0,135.852,0,0,0,0,0,0,131.956,0,0.00034,0.00034,0.00034
2,148.324,0,98.1965,0,0,0,0,0,0,110.666,0,0.00068614,0.00068614,0.00068614
3,270.239,0,84.1786,0,0,0,0,0,0,57.5738,0,0.00101802,0.00101802,0.00101802
4,405.259,0,77.9607,0,0,0,0,0,0,56.9949,0,0.00133565,0.00133565,0.00133565
5,532.308,0,69.3311,0,0,0,0,0,0,42.1207,0,0.00163902,0.00163902,0.00163902
6,666.11,0,61.0507,0,0,0,0,0,0,50.831,0,0.001802,0.001802,0.001802
7,800.365,0,53.2072,0,0,0,0,0,0,14331.6,0,0.0017624,0.0017624,0.0017624
8,938.739,0,46.3879,0,0,0,0,0,0,40.3674,0,0.0017228,0.0017228,0.0017228
9,1076.78,0,39.462,0,0,0,0,0,0,31.093,0,0.0016832,0.0016832,0.0016832
10,1459.44,0,33.1712,0,0,0,0,0,0,29.953,0,0.0016436,0.0016436,0.0016436
11,1585.9,0,28.4794,0,0,0,0,0,0,28.1826,0,0.001604,0.001604,0.001604
12,1662.33,0,23.4685,0,0,0,0,0,0,22.7587,0,0.0015644,0.0015644,0.0015644
13,1797.87,0,19.4158,0,0,0,0,0,0,19.0822,0,0.0015248,0.0015248,0.0015248
14,1931.13,0,15.9712,0,0,0,0,0,0,16.2384,0,0.0014852,0.0014852,0.0014852
15,2065.46,0,13.0469,0,0,0,0,0,0,12.9513,0,0.0014456,0.0014456,0.0014456
16,2199.25,0,10.8521,0,0,0,0,0,0,9.72641,0,0.001406,0.001406,0.001406
17,2333.22,0,9.02557,0,0,0,0,0,0,8.54904,0,0.0013664,0.0013664,0.0013664
18,2449.33,0,7.47957,0,0,0,0,0,0,6.46838,0,0.0013268,0.0013268,0.0013268
19,2521.11,0,6.09616,0,0,0,0,0,0,5.17602,0,0.0012872,0.0012872,0.0012872
