epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.225,0,135.852,0,0,0,0,0,0,131.956,0,0.00034,0.00034,0.00034
2,261.918,0,98.1965,0,0,0,0,0,0,110.666,0,0.00068614,0.00068614,0.00068614
3,391.688,0,84.1786,0,0,0,0,0,0,57.5738,0,0.00101802,0.00101802,0.00101802
4,523.126,0,77.9607,0,0,0,0,0,0,56.9949,0,0.00133565,0.00133565,0.00133565
5,651.32,0,69.3311,0,0,0,0,0,0,42.1207,0,0.00163902,0.00163902,0.00163902
6,780.755,0,61.0507,0,0,0,0,0,0,50.831,0,0.001802,0.001802,0.001802
7,912.282,0,53.2072,0,0,0,0,0,0,14331.6,0,0.0017624,0.0017624,0.0017624
