epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9184,0,72.2136,0,0,0,0,0,0,75.2622,0,0.00034,0.00034,0.00034
2,152.612,0,53.0207,0,0,0,0,0,0,63.9888,0,0.0006769,0.0006769,0.0006769
3,233.648,0,44.6476,0,0,0,0,0,0,38.487,0,0.00099004,0.00099004,0.00099004
4,314.352,0,39.3425,0,0,0,0,0,0,37.8745,0,0.00127942,0.00127942,0.00127942
5,394.9,0,34.6484,0,0,0,0,0,0,34.9183,0,0.00154504,0.00154504,0.00154504
6,472.758,0,30.4241,0,0,0,0,0,0,30.4258,0,0.00167,0.00167,0.00167
7,555.266,0,26.7366,0,0,0,0,0,0,28.0165,0,0.001604,0.001604,0.001604
8,637.588,0,23.2697,0,0,0,0,0,0,22.971,0,0.001538,0.001538,0.001538
9,715.531,0,20.1231,0,0,0,0,0,0,19.6621,0,0.001472,0.001472,0.001472
10,794.184,0,17.4164,0,0,0,0,0,0,16.4122,0,0.001406,0.001406,0.001406
11,870.152,0,15.0165,0,0,0,0,0,0,14.5216,0,0.00134,0.00134,0.00134
12,947.569,0,13.06,0,0,0,0,0,0,13.4679,0,0.001274,0.001274,0.001274
13,1025.51,0,11.2986,0,0,0,0,0,0,11.5183,0,0.001208,0.001208,0.001208
14,1106.24,0,9.80722,0,0,0,0,0,0,9.47607,0,0.001142,0.001142,0.001142
15,1184.6,0,8.55956,0,0,0,0,0,0,9.16417,0,0.001076,0.001076,0.001076
16,1264.2,0,7.52743,0,0,0,0,0,0,7.56737,0,0.00101,0.00101,0.00101
17,1343.16,0,6.60051,0,0,0,0,0,0,6.78756,0,0.000944,0.000944,0.000944
18,1421.89,0,5.85609,0,0,0,0,0,0,5.6128,0,0.000878,0.000878,0.000878
19,1497.07,0,5.20917,0,0,0,0,0,0,5.01615,0,0.000812,0.000812,0.000812
20,1570.89,0,4.68665,0,0,0,0,0,0,4.57298,0,0.000746,0.000746,0.000746
21,1630.83,0,4.24547,0,0,0,0,0,0,4.18489,0,0.00068,0.00068,0.00068
22,1705.66,0,3.8682,0,0,0,0,0,0,3.77292,0,0.000614,0.000614,0.000614
