epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.0969,0,72.2136,0,0,0,0,0,0,75.2622,0,0.00034,0.00034,0.00034
2,162.564,0,52.971,0,0,0,0,0,0,63.6301,0,0.00068614,0.00068614,0.00068614
3,236.92,0,45.2574,0,0,0,0,0,0,37.6427,0,0.00101802,0.00101802,0.00101802
4,274.853,0,39.7634,0,0,0,0,0,0,36.1135,0,0.00133565,0.00133565,0.00133565
5,312.924,0,34.3595,0,0,0,0,0,0,31.3277,0,0.00163902,0.00163902,0.00163902
6,350.713,0,29.6771,0,0,0,0,0,0,25.571,0,0.001802,0.001802,0.001802
7,387.979,0,25.3228,0,0,0,0,0,0,23.3101,0,0.0017624,0.0017624,0.0017624
8,426.658,0,22.2369,0,0,0,0,0,0,2832.92,0,0.0017228,0.0017228,0.0017228
9,464.678,0,18.6033,0,0,0,0,0,0,20.5867,0,0.0016832,0.0016832,0.0016832
10,502.395,0,15.7148,0,0,0,0,0,0,15.9769,0,0.0016436,0.0016436,0.0016436
11,540.298,0,13.1805,0,0,0,0,0,0,124.591,0,0.001604,0.001604,0.001604
12,578.271,0,11.2428,0,0,0,0,0,0,5628.6,0,0.0015644,0.0015644,0.0015644
13,615.775,0,9.32308,0,0,0,0,0,0,11.4238,0,0.0015248,0.0015248,0.0015248
14,653.068,0,7.77451,0,0,0,0,0,0,8.15641,0,0.0014852,0.0014852,0.0014852
15,690.961,0,6.40999,0,0,0,0,0,0,6.57472,0,0.0014456,0.0014456,0.0014456
16,729.139,0,5.26943,0,0,0,0,0,0,4.96765,0,0.001406,0.001406,0.001406
17,767.696,0,4.30965,0,0,0,0,0,0,4.14169,0,0.0013664,0.0013664,0.0013664
