epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.448,0,135.85,0,0,0,0,0,0,131.953,0,0.00034,0.00034,0.00034
2,262.178,0,98.4427,0,0,0,0,0,0,111.156,0,0.00068614,0.00068614,0.00068614
3,389.932,0,85.1939,0,0,0,0,0,0,60.1959,0,0.00101802,0.00101802,0.00101802
4,523.233,0,75.7462,0,0,0,0,0,0,65.9221,0,0.00133565,0.00133565,0.00133565
5,652.205,0,66.7853,0,0,0,0,0,0,53.8899,0,0.00163902,0.00163902,0.00163902
6,781.805,0,58.1177,0,0,0,0,0,0,49.8588,0,0.001802,0.001802,0.001802
7,912.369,0,49.9033,0,0,0,0,0,0,37.1507,0,0.0017624,0.0017624,0.0017624
8,1041.61,0,42.2079,0,0,0,0,0,0,34.3412,0,0.0017228,0.0017228,0.0017228
9,1173.04,0,35.8227,0,0,0,0,0,0,28.9881,0,0.0016832,0.0016832,0.0016832
10,1299.83,0,30.2796,0,0,0,0,0,0,31.6584,0,0.0016436,0.0016436,0.0016436
11,1427.46,0,25.1285,0,0,0,0,0,0,26.0708,0,0.001604,0.001604,0.001604
12,1561.42,0,20.8976,0,0,0,0,0,0,21.7301,0,0.0015644,0.0015644,0.0015644
13,1693.43,0,17.2058,0,0,0,0,0,0,17.3145,0,0.0015248,0.0015248,0.0015248
14,1828.9,0,14.2189,0,0,0,0,0,0,13.0818,0,0.0014852,0.0014852,0.0014852
15,1961.46,0,11.6639,0,0,0,0,0,0,10.8742,0,0.0014456,0.0014456,0.0014456
16,2090.36,0,9.63732,0,0,0,0,0,0,2201.9,0,0.001406,0.001406,0.001406
17,2220.84,0,7.9468,0,0,0,0,0,0,6.83664,0,0.0013664,0.0013664,0.0013664
18,2349.85,0,6.6241,0,0,0,0,0,0,5.75447,0,0.0013268,0.0013268,0.0013268
19,2481.08,0,5.43045,0,0,0,0,0,0,5.00804,0,0.0012872,0.0012872,0.0012872
