epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4424,0,34.1474,0,0,0,0,0,0,41.6049,0,0.000648148,0.000648148,0.000648148
2,147.643,0,24.187,0,0,0,0,0,0,19.0813,0,0.00118465,0.00118465,0.00118465
3,245.123,0,20.8362,0,0,0,0,0,0,23.1124,0,0.00158915,0.00158915,0.00158915
4,344.645,0,18.4162,0,0,0,0,0,0,22.0638,0,0.001406,0.001406,0.001406
5,441.346,0,16.4522,0,0,0,0,0,0,19.7408,0,0.001208,0.001208,0.001208
6,537.647,0,14.9562,0,0,0,0,0,0,17.702,0,0.00101,0.00101,0.00101
7,630.996,0,13.7167,0,0,0,0,0,0,16.6328,0,0.000812,0.000812,0.000812
8,730.325,0,12.8258,0,0,0,0,0,0,15.3185,0,0.000614,0.000614,0.000614
9,812.185,0,12.1819,0,0,0,0,0,0,14.7338,0,0.000416,0.000416,0.000416
10,865.301,0,11.8052,0,0,0,0,0,0,14.3902,0,0.000218,0.000218,0.000218
