epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.362,0,135.852,0,0,0,0,0,0,131.956,0,0.00034,0.00034,0.00034
2,210.736,0,98.1965,0,0,0,0,0,0,110.666,0,0.00068614,0.00068614,0.00068614
3,325.402,0,84.1786,0,0,0,0,0,0,57.5738,0,0.00101802,0.00101802,0.00101802
4,400.009,0,77.9607,0,0,0,0,0,0,56.9949,0,0.00133565,0.00133565,0.00133565
5,472.743,0,69.3311,0,0,0,0,0,0,42.1207,0,0.00163902,0.00163902,0.00163902
6,545.433,0,61.0507,0,0,0,0,0,0,50.831,0,0.001802,0.001802,0.001802
7,618.861,0,53.2072,0,0,0,0,0,0,14331.6,0,0.0017624,0.0017624,0.0017624
8,691.616,0,46.3879,0,0,0,0,0,0,40.3674,0,0.0017228,0.0017228,0.0017228
9,794.646,0,39.462,0,0,0,0,0,0,31.093,0,0.0016832,0.0016832,0.0016832
10,933.018,0,33.1712,0,0,0,0,0,0,29.953,0,0.0016436,0.0016436,0.0016436
11,1053.65,0,28.4794,0,0,0,0,0,0,28.1826,0,0.001604,0.001604,0.001604
12,1187.49,0,23.4685,0,0,0,0,0,0,22.7587,0,0.0015644,0.0015644,0.0015644
13,1321.96,0,19.4158,0,0,0,0,0,0,19.0822,0,0.0015248,0.0015248,0.0015248
14,1445.9,0,15.9712,0,0,0,0,0,0,16.2384,0,0.0014852,0.0014852,0.0014852
15,1550.75,0,13.0469,0,0,0,0,0,0,12.9513,0,0.0014456,0.0014456,0.0014456
16,1652.38,0,10.8521,0,0,0,0,0,0,9.72641,0,0.001406,0.001406,0.001406
17,1781.33,0,9.02557,0,0,0,0,0,0,8.54904,0,0.0013664,0.0013664,0.0013664
18,1907.97,0,7.47957,0,0,0,0,0,0,6.46838,0,0.0013268,0.0013268,0.0013268
19,1989.87,0,6.09616,0,0,0,0,0,0,5.17602,0,0.0012872,0.0012872,0.0012872
